AZTI-38	AZTI-39	AZTI-40	AZTI-41	AZTI-42	AZTI-43	CNRS-A1	CNRS-A2	CNRS-A3	CNRS-N1	CNRS-N2	CNRS-N3	CNRS-S1	CNRS-S2	CNRS-S3	CONISMA-1	CONISMA-2	CONISMA-3	CONISMA-4	CONISMA-5	CONISMA-6	CONISMA-7	IOBAS-ALA	IOBAS-CHEA	IOBAS-CHEB	IOBAS-KAM	KAUST-A1	KAUST-C1	KAUST-C2	KAUST-C3	KUCORPI-KAR	KUCORPI-PAL1	KUCORPI-PAL2	Class
0	0	0	0	0	0	0	0	0	0	0	0	0	2.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	1.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bivalvia
0.53	0.74	0	0	0	0	0	0	0.73	0	0	0	0	0	0	0	0.62	0	0	0	0	0.58	1.33	0.48	0	0	181.4	520.25	0	283.72	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	2.29	0.74	0	0	0	1.48	0	0	0	0	0	0	1.06	0	0	370.56	109.53	0	482.54	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.84	4.2	0	7.32	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.32	4.73	0	8.29	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.36	2.36	0	26.04	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.13	7.89	0	13.03	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13	0	0	0	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06	0	0	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97	0	0	0	Bivalvia
197.2	0	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.39	101.55	46.68	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	2.25	0	0	0	0.72	0	0	0	0	0	0	0	4.3	1.03	0	0	0	0	0	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	5.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22	0	0	0	335.86	Bivalvia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84	Bivalvia
0	0	42.32	7.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14	0	0	0	0	0	0	0	0	Bivalvia
0	0	0	0	0	0	0	0	4.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bivalvia
